Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
Drive: The Surprising Truth About What Motivates Us,['Daniel H. Pink'],Â£34.95,In stock,Four,Default,In stock (15 available),https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html
Done Rubbed Out (Reightman & Bailey #1),[],Â£37.72,In stock,Five,Default,In stock (15 available),https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html
Beauty Restored (Riley Family Legacy Novellas #3),['Rachel Skatvold'],Â£11.11,In stock,Two,Default,In stock (15 available),https://books.toscrape.com/catalogue/beauty-restored-riley-family-legacy-novellas-3_794/index.html
Ayumi's Violin,['Mariko Tatsumoto'],Â£15.48,In stock,Two,Default,In stock (15 available),https://books.toscrape.com/catalogue/ayumis-violin_791/index.html
Anonymous,['Gabriella Coleman'],Â£46.82,In stock,Four,Default,In stock (15 available),https://books.toscrape.com/catalogue/anonymous_790/index.html
Amy Meets the Saints and Sages,['Ernie Rosenberg'],Â£18.46,In stock,Three,Default,In stock (15 available),https://books.toscrape.com/catalogue/amy-meets-the-saints-and-sages_789/index.html
Amatus,"['Mihriban Özbaşaran', 'Oğuz Tanındı', 'Ahmet Boratav']",Â£50.54,In stock,Five,Default,In stock (15 available),https://books.toscrape.com/catalogue/amatus_787/index.html
V for Vendetta (V for Vendetta Complete),['James R. Keller'],Â£37.10,In stock,Four,Default,In stock (14 available),https://books.toscrape.com/catalogue/v-for-vendetta-v-for-vendetta-complete_776/index.html
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",['KD Phillips'],Â£45.95,In stock,Two,Default,In stock (14 available),https://books.toscrape.com/catalogue/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html
The Wright Brothers,['Russell Freedman'],Â£56.80,In stock,Four,Default,In stock (14 available),https://books.toscrape.com/catalogue/the-wright-brothers_769/index.html
The Songs of the Gods,['Jack L. Chalker'],Â£44.48,In stock,Five,Default,In stock (14 available),https://books.toscrape.com/catalogue/the-songs-of-the-gods_763/index.html
The Rosie Project (Don Tillman #1),['Graeme C. Simsion'],Â£54.04,In stock,One,Default,In stock (14 available),https://books.toscrape.com/catalogue/the-rosie-project-don-tillman-1_761/index.html
The Power of Habit: Why We Do What We Do in Life and Business,['Charles Duhigg'],Â£16.88,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html
Steve Jobs,['MAX EDITORIAL'],Â£39.50,In stock,Five,Default,In stock (14 available),https://books.toscrape.com/catalogue/steve-jobs_737/index.html
Luckiest Girl Alive,['Jessica Knoll'],Â£49.83,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",['Gardner E. Daniel'],Â£46.91,In stock,Four,Default,In stock (14 available),https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html
Lady Midnight (The Dark Artifices #1),['Cassandra Clare'],Â£16.28,In stock,Five,Default,In stock (14 available),https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html
"Hush, Hush (Hush, Hush #1)",['Becca Fitzpatrick'],Â£47.02,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html
Greek Mythic History,['History Brought Alive'],Â£10.23,In stock,Five,Default,In stock (14 available),https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
Every Last Word,['Tamara Ireland Stone'],Â£46.47,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/every-last-word_693/index.html
Daily Fantasy Sports,['Bill Ordine'],Â£36.58,In stock,One,Default,In stock (14 available),https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html
Clockwork Angel (The Infernal Devices #1),['Cassandra Clare'],Â£44.14,In stock,One,Default,In stock (14 available),https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html
City of Fallen Angels (The Mortal Instruments #4),['Cassandra Clare'],Â£11.23,In stock,Four,Default,In stock (14 available),https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
City of Bones (The Mortal Instruments #1),['Cassandra Clare'],Â£43.28,In stock,One,Default,In stock (14 available),https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html
City of Ashes (The Mortal Instruments #2),['Cassandra Clare'],Â£47.27,In stock,One,Default,In stock (14 available),https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html
"Carry On, Warrior: Thoughts on Life Unarmed",['Glennon Doyle'],Â£31.85,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/carry-on-warrior-thoughts-on-life-unarmed_672/index.html
Carrie,['Stephen King'],Â£46.23,In stock,Two,Default,In stock (14 available),https://books.toscrape.com/catalogue/carrie_671/index.html
Angels & Demons (Robert Langdon #1),[],Â£51.48,In stock,Three,Default,In stock (14 available),https://books.toscrape.com/catalogue/angels-demons-robert-langdon-1_661/index.html
"The Three Searches, Meaning, and the Story",['John H.T. Francis'],Â£13.33,In stock,Three,Default,In stock (13 available),https://books.toscrape.com/catalogue/the-three-searches-meaning-and-the-story_649/index.html
Raspberry Pi Electronics Projects for the Evil Genius,['Donald Norris'],Â£49.67,In stock,Four,Default,In stock (12 available),https://books.toscrape.com/catalogue/raspberry-pi-electronics-projects-for-the-evil-genius_630/index.html
How to Speak Golf: An Illustrated Guide to Links Lingo,"['Sally Cook', 'Ross MacDonald']",Â£58.32,In stock,Five,Default,In stock (12 available),https://books.toscrape.com/catalogue/how-to-speak-golf-an-illustrated-guide-to-links-lingo_621/index.html
Eleanor & Park,[],Â£56.51,In stock,Five,Default,In stock (12 available),https://books.toscrape.com/catalogue/eleanor-park_616/index.html
Troublemaker: Surviving Hollywood and Scientology,"['Leah Remini', 'Rebecca Paley']",Â£48.39,In stock,Two,Default,In stock (11 available),https://books.toscrape.com/catalogue/troublemaker-surviving-hollywood-and-scientology_610/index.html
Adultery,['Hector Davies Morgan'],Â£20.88,In stock,Five,Default,In stock (11 available),https://books.toscrape.com/catalogue/adultery_586/index.html
Unlimited Intuition Now,['Catherine Carrigan'],Â£58.87,In stock,Four,Default,In stock (9 available),https://books.toscrape.com/catalogue/unlimited-intuition-now_578/index.html
Underlying Notes,['Eva Pasco'],Â£11.82,In stock,Two,Default,In stock (9 available),https://books.toscrape.com/catalogue/underlying-notes_577/index.html
The New Brand You: Your New Image Makes the Sale for You,"['Yushi Jiang', 'Yuriy Shvets', 'Hrushikesh Mallick']",Â£44.05,In stock,Five,Default,In stock (9 available),https://books.toscrape.com/catalogue/the-new-brand-you-your-new-image-makes-the-sale-for-you_575/index.html
The Flowers Lied,['J J Grandville'],Â£16.68,In stock,Two,Default,In stock (9 available),https://books.toscrape.com/catalogue/the-flowers-lied_573/index.html
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",['Hillary DePiano'],Â£10.41,In stock,Four,Default,In stock (9 available),https://books.toscrape.com/catalogue/nano-what-now-finding-your-editing-process-revising-your-nanowrimo-book-and-building-a-writing-career-through-publishing-and-beyond_566/index.html
Modern Day Fables,['Vaid Atwal'],Â£47.44,In stock,Two,Default,In stock (9 available),https://books.toscrape.com/catalogue/modern-day-fables_565/index.html
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),['Rachel Joyce'],Â£43.62,In stock,Five,Default,In stock (8 available),https://books.toscrape.com/catalogue/the-unlikely-pilgrimage-of-harold-fry-harold-fry-1_551/index.html
The Martian (The Martian #1),['Andy Weir'],Â£41.39,In stock,Two,Default,In stock (8 available),https://books.toscrape.com/catalogue/the-martian-the-martian-1_548/index.html
Left Behind (Left Behind #1),['Ye Jingzhong'],Â£40.72,In stock,Two,Default,In stock (8 available),https://books.toscrape.com/catalogue/left-behind-left-behind-1_529/index.html
John Vassos: Industrial Design for Modern Life,['Danielle Shapiro'],Â£20.22,In stock,Four,Default,In stock (8 available),https://books.toscrape.com/catalogue/john-vassos-industrial-design-for-modern-life_526/index.html
I'll Give You the Sun,['Jandy Nelson'],Â£56.48,In stock,One,Default,In stock (8 available),https://books.toscrape.com/catalogue/ill-give-you-the-sun_525/index.html
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"['Todd Burpo', 'Sonja Burpo']",Â£52.86,In stock,Two,Default,In stock (8 available),https://books.toscrape.com/catalogue/heaven-is-for-real-a-little-boys-astounding-story-of-his-trip-to-heaven-and-back_520/index.html
Ender's Game (The Ender Quintet #1),['Orson Scott Card'],Â£43.64,In stock,One,Default,In stock (8 available),https://books.toscrape.com/catalogue/enders-game-the-ender-quintet-1_518/index.html
Death by Leisure: A Cautionary Tale,['Chris Ayres'],Â£37.51,In stock,Four,Default,In stock (8 available),https://books.toscrape.com/catalogue/death-by-leisure-a-cautionary-tale_516/index.html
Wildlife of New York: A Five-Borough Coloring Book,[],Â£22.14,In stock,Two,Default,In stock (7 available),https://books.toscrape.com/catalogue/wildlife-of-new-york-a-five-borough-coloring-book_507/index.html
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,['A. J. Jacobs'],Â£34.72,In stock,One,Default,In stock (7 available),https://books.toscrape.com/catalogue/the-year-of-living-biblically-one-mans-humble-quest-to-follow-the-bible-as-literally-as-possible_502/index.html
The Great Gatsby,['F. Scott Fitzgerald'],Â£36.05,In stock,Four,Default,In stock (7 available),https://books.toscrape.com/catalogue/the-great-gatsby_498/index.html
The Good Girl,['Jessica Brody'],Â£49.03,In stock,Three,Default,In stock (7 available),https://books.toscrape.com/catalogue/the-good-girl_497/index.html
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,['Stephen R. Covey'],Â£33.17,In stock,Four,Default,In stock (7 available),https://books.toscrape.com/catalogue/the-7-habits-of-highly-effective-people-powerful-lessons-in-personal-change_489/index.html
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,['Austin Kleon'],Â£20.90,In stock,Two,Default,In stock (7 available),https://books.toscrape.com/catalogue/steal-like-an-artist-10-things-nobody-told-you-about-being-creative_487/index.html
Life of Pi,['Yann Martel'],Â£13.22,In stock,Four,Default,In stock (7 available),https://books.toscrape.com/catalogue/life-of-pi_475/index.html
The Sound Of Love,['Jimi Calhoun'],Â£57.84,In stock,Five,Default,In stock (6 available),https://books.toscrape.com/catalogue/the-sound-of-love_455/index.html
The Perks of Being a Wallflower,['Stephen Chbosky'],Â£55.02,In stock,Three,Default,In stock (6 available),https://books.toscrape.com/catalogue/the-perks-of-being-a-wallflower_453/index.html
The Makings of a Fatherless Child,['Chandler Alexander'],Â£31.58,In stock,Two,Default,In stock (6 available),https://books.toscrape.com/catalogue/the-makings-of-a-fatherless-child_450/index.html
The Hobbit (Middle-Earth Universe),['Gene B Hardy'],Â£17.80,In stock,Five,Default,In stock (6 available),https://books.toscrape.com/catalogue/the-hobbit-middle-earth-universe_447/index.html
The Fellowship of the Ring (The Lord of the Rings #1),['J. R. R. Tolkien'],Â£10.27,In stock,Two,Default,In stock (6 available),https://books.toscrape.com/catalogue/the-fellowship-of-the-ring-the-lord-of-the-rings-1_442/index.html
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,[],Â£30.60,In stock,Three,Default,In stock (6 available),https://books.toscrape.com/catalogue/ship-leaves-harbor-essays-on-travel-by-a-recovering-journeyman_438/index.html
Musicophilia: Tales of Music and the Brain,['Oliver Sacks'],Â£46.58,In stock,One,Default,In stock (6 available),https://books.toscrape.com/catalogue/musicophilia-tales-of-music-and-the-brain_436/index.html
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,['Randall Munroe'],Â£53.68,In stock,Four,Default,In stock (5 available),https://books.toscrape.com/catalogue/what-if-serious-scientific-answers-to-absurd-hypothetical-questions_416/index.html
The Fault in Our Stars,['John Green'],Â£47.22,In stock,One,Default,In stock (5 available),https://books.toscrape.com/catalogue/the-fault-in-our-stars_403/index.html
The Dream Thieves (The Raven Cycle #2),['Maggie Stiefvater'],Â£34.50,In stock,One,Default,In stock (5 available),https://books.toscrape.com/catalogue/the-dream-thieves-the-raven-cycle-2_400/index.html
The 5th Wave (The 5th Wave #1),['Rick Yancey'],Â£11.83,In stock,Two,Default,In stock (5 available),https://books.toscrape.com/catalogue/the-5th-wave-the-5th-wave-1_397/index.html
Shiver (The Wolves of Mercy Falls #1),['Maggie Stiefvater'],Â£16.23,In stock,Five,Default,In stock (5 available),https://books.toscrape.com/catalogue/shiver-the-wolves-of-mercy-falls-1_392/index.html
Remember Me?,['Liz Byrski'],Â£11.48,In stock,Three,Default,In stock (5 available),https://books.toscrape.com/catalogue/remember-me_391/index.html
If I Stay (If I Stay #1),['Gayle Forman'],Â£38.13,In stock,Five,Default,In stock (5 available),https://books.toscrape.com/catalogue/if-i-stay-if-i-stay-1_379/index.html
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),['Maya Angelou'],Â£36.55,In stock,Two,Default,In stock (5 available),https://books.toscrape.com/catalogue/i-know-why-the-caged-bird-sings-maya-angelous-autobiography-1_378/index.html
Harry Potter and the Deathly Hallows (Harry Potter #7),['J. K. Rowling'],Â£23.32,In stock,One,Default,In stock (5 available),https://books.toscrape.com/catalogue/harry-potter-and-the-deathly-hallows-harry-potter-7_377/index.html
Fool Me Once,['Mary Burton King'],Â£16.96,In stock,One,Default,In stock (5 available),https://books.toscrape.com/catalogue/fool-me-once_374/index.html
Drama,"['Friedrich Schiller', 'Antonio Hurtado']",Â£38.70,In stock,Two,Default,In stock (5 available),https://books.toscrape.com/catalogue/drama_371/index.html
"Blue Lily, Lily Blue (The Raven Cycle #3)",['Maggie Stiefvater'],Â£34.13,In stock,Five,Default,In stock (5 available),https://books.toscrape.com/catalogue/blue-lily-lily-blue-the-raven-cycle-3_364/index.html
Alight (The Generations Trilogy #2),['Scott Sigler'],Â£58.59,In stock,Four,Default,In stock (5 available),https://books.toscrape.com/catalogue/alight-the-generations-trilogy-2_360/index.html
Vogue Colors A to Z: A Fashion Coloring Book,['Valerie Steiker'],Â£52.35,In stock,Four,Default,In stock (4 available),https://books.toscrape.com/catalogue/vogue-colors-a-to-z-a-fashion-coloring-book_355/index.html
The Shining (The Shining #1),['Stephen King'],Â£27.88,In stock,Three,Default,In stock (4 available),https://books.toscrape.com/catalogue/the-shining-the-shining-1_354/index.html
The Hunger Games (The Hunger Games #1),['Suzanne Collins'],Â£29.85,In stock,Five,Default,In stock (4 available),https://books.toscrape.com/catalogue/the-hunger-games-the-hunger-games-1_349/index.html
Outlander (Outlander #1),['Diana Gabaldon'],Â£19.67,In stock,Five,Default,In stock (4 available),https://books.toscrape.com/catalogue/outlander-outlander-1_338/index.html
Mockingjay (The Hunger Games #3),['Suzanne Collins'],Â£20.44,In stock,Four,Default,In stock (4 available),https://books.toscrape.com/catalogue/mockingjay-the-hunger-games-3_333/index.html
Harry Potter and the Sorcerer's Stone (Harry Potter #1),['Joanne Kathleen Rowling'],Â£13.90,In stock,Three,Default,In stock (4 available),https://books.toscrape.com/catalogue/harry-potter-and-the-sorcerers-stone-harry-potter-1_329/index.html
Confessions of a Shopaholic (Shopaholic #1),['Sophie Kinsella'],Â£48.94,In stock,Two,Default,In stock (4 available),https://books.toscrape.com/catalogue/confessions-of-a-shopaholic-shopaholic-1_318/index.html
Zero History (Blue Ant #3),['William Gibson'],Â£34.77,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/zero-history-blue-ant-3_308/index.html
World War Z: An Oral History of the Zombie War,['Max Brooks'],Â£21.80,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/world-war-z-an-oral-history-of-the-zombie-war_306/index.html
Wild: From Lost to Found on the Pacific Crest Trail,['Cheryl Strayed'],Â£46.02,In stock,Three,Default,In stock (3 available),https://books.toscrape.com/catalogue/wild-from-lost-to-found-on-the-pacific-crest-trail_305/index.html
"Where'd You Go, Bernadette",['Maria Semple'],Â£18.13,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/whered-you-go-bernadette_304/index.html
Twilight (Twilight #1),['Elias J. Connor'],Â£41.93,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/twilight-twilight-1_293/index.html
The Paris Wife,['Paula McLain'],Â£36.80,In stock,Three,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-paris-wife_269/index.html
The Maze Runner (The Maze Runner #1),['James Dashner'],Â£20.93,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-maze-runner-the-maze-runner-1_263/index.html
The Lover's Dictionary,['David Levithan'],Â£58.09,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-lovers-dictionary_262/index.html
The Goldfinch,['Donna Tartt'],Â£43.58,In stock,Three,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-goldfinch_252/index.html
The Giver (The Giver Quartet #1),['Lois Lowry'],Â£12.30,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-giver-the-giver-quartet-1_251/index.html
The Girl Who Played with Fire (Millennium Trilogy #2),['BookCaps Study Guides Staff'],Â£22.14,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-girl-who-played-with-fire-millennium-trilogy-2_249/index.html
The Demon-Haunted World: Science as a Candle in the Dark,"['Richard J. Haier', 'Roberto Colom', 'Earl Hunt']",Â£52.25,In stock,Four,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-demon-haunted-world-science-as-a-candle-in-the-dark_242/index.html
The Book Thief,['Markus Zusak'],Â£53.49,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-book-thief_233/index.html
The Autobiography of Malcolm X,"['Malcolm X', 'Alex Haley']",Â£23.43,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/the-autobiography-of-malcolm-x_230/index.html
Shopaholic & Baby (Shopaholic #5),['Sophie Kinsella'],Â£46.45,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/shopaholic-baby-shopaholic-5_221/index.html
Quiet: The Power of Introverts in a World That Can't Stop Talking,['Susan Cain'],Â£43.55,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/quiet-the-power-of-introverts-in-a-world-that-cant-stop-talking_208/index.html
Packing for Mars: The Curious Science of Life in the Void,['Mary Roach'],Â£56.68,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/packing-for-mars-the-curious-science-of-life-in-the-void_205/index.html
Orange Is the New Black,['Piper Kerman'],Â£24.61,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/orange-is-the-new-black_202/index.html
One for the Money (Stephanie Plum #1),['Janet Evanovich'],Â£32.87,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/one-for-the-money-stephanie-plum-1_201/index.html
Morning Star (Red Rising #3),['Pierce Brown'],Â£29.40,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/morning-star-red-rising-3_196/index.html
Life After Life,['K.R. Schmitt'],Â£26.13,In stock,Two,Default,In stock (3 available),https://books.toscrape.com/catalogue/life-after-life_187/index.html
"Lean In: Women, Work, and the Will to Lead",['Sheryl Sandberg'],Â£25.02,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/lean-in-women-work-and-the-will-to-lead_183/index.html
Is Everyone Hanging Out Without Me? (And Other Concerns),['Mindy Kaling'],Â£20.11,In stock,Three,Default,In stock (3 available),https://books.toscrape.com/catalogue/is-everyone-hanging-out-without-me-and-other-concerns_178/index.html
Gone Girl,['Gillian Flynn'],Â£37.60,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/gone-girl_162/index.html
Fellside,['M. R. Carey'],Â£38.62,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/fellside_155/index.html
Eclipse (Twilight #3),['Mark Cotta Vaz'],Â£18.74,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/eclipse-twilight-3_152/index.html
Dracula,['Bram Stoker'],Â£52.62,In stock,Three,Default,In stock (3 available),https://books.toscrape.com/catalogue/dracula_150/index.html
Dead Wake: The Last Crossing of the Lusitania,['Erik Larson'],Â£39.24,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/dead-wake-the-last-crossing-of-the-lusitania_147/index.html
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",['J.J. Holt'],Â£17.81,In stock,One,Default,In stock (3 available),https://books.toscrape.com/catalogue/david-and-goliath-underdogs-misfits-and-the-art-of-battling-giants_146/index.html
Dark Places,['Novelmaker'],Â£23.90,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/dark-places_144/index.html
Breaking Dawn (Twilight #4),['Stephenie Meyer'],Â£35.28,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/breaking-dawn-twilight-4_136/index.html
Beautiful Creatures (Caster Chronicles #1),"['Kami Garcia', 'Margaret Stohl']",Â£21.55,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/beautiful-creatures-caster-chronicles-1_125/index.html
A Visit from the Goon Squad,['Jennifer Egan'],Â£14.08,In stock,Five,Default,In stock (3 available),https://books.toscrape.com/catalogue/a-visit-from-the-goon-squad_117/index.html
The Zombie Room,['R. d. Ronald'],Â£19.69,In stock,Five,Default,In stock (1 available),https://books.toscrape.com/catalogue/the-zombie-room_87/index.html
The Name of the Wind (The Kingkiller Chronicle #1),['Patrick Rothfuss'],Â£50.59,In stock,Three,Default,In stock (1 available),https://books.toscrape.com/catalogue/the-name-of-the-wind-the-kingkiller-chronicle-1_74/index.html
Taking Shots (Assassins #1),['Toni Aleo'],Â£18.88,In stock,Two,Default,In stock (1 available),https://books.toscrape.com/catalogue/taking-shots-assassins-1_57/index.html
Shatter Me (Shatter Me #1),['Tahereh Mafi'],Â£42.40,In stock,One,Default,In stock (1 available),https://books.toscrape.com/catalogue/shatter-me-shatter-me-1_53/index.html
Paradise Lost (Paradise #1),['John Milton'],Â£24.96,In stock,One,Default,In stock (1 available),https://books.toscrape.com/catalogue/paradise-lost-paradise-1_45/index.html
On the Road (Duluoz Legend),['Jack Kerouac'],Â£32.36,In stock,Three,Default,In stock (1 available),https://books.toscrape.com/catalogue/on-the-road-duluoz-legend_40/index.html
Jane Eyre,['Charlotte Brontë'],Â£38.43,In stock,Five,Default,In stock (1 available),https://books.toscrape.com/catalogue/jane-eyre_27/index.html
Frankenstein,['Mary Shelley'],Â£38.00,In stock,Two,Default,In stock (1 available),https://books.toscrape.com/catalogue/frankenstein_20/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,"['Edgar Allan Poe', 'Nathaniel Hawthorne', 'Lydia Child', 'Thomas Charles Morgan', 'Percival Leigh', 'William Mudford', 'Frederick Marryat']",Â£37.59,In stock,One,Science Fiction,In stock (19 available),https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,"['Ochoa', 'Collins']",Â£35.67,In stock,Five,Science Fiction,In stock (16 available),https://books.toscrape.com/catalogue/join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",['Ian Doescher'],Â£43.30,In stock,Four,Science Fiction,In stock (15 available),https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,[],Â£10.65,In stock,One,Science Fiction,In stock (15 available),https://books.toscrape.com/catalogue/the-project_856/index.html
Soft Apocalypse,['Will McIntosh'],Â£26.12,In stock,Two,Science Fiction,In stock (15 available),https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),['Sylvain Neuvel'],Â£48.74,In stock,One,Science Fiction,In stock (11 available),https://books.toscrape.com/catalogue/sleeping-giants-themis-files-1_604/index.html
Arena,['Jorge Luis Borges'],Â£21.36,In stock,Four,Science Fiction,In stock (11 available),https://books.toscrape.com/catalogue/arena_587/index.html
Foundation (Foundation (Publication Order) #1),['National Science Foundation (U.S.)'],Â£32.42,In stock,One,Science Fiction,In stock (5 available),https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),['Douglas Adams'],Â£10.92,In stock,One,Science Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,['Ernest Cline'],Â£19.07,In stock,Four,Science Fiction,In stock (3 available),https://books.toscrape.com/catalogue/ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",['Douglas Adams'],Â£33.26,In stock,Two,Science Fiction,In stock (3 available),https://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),"['Timothy G. Fisher', 'Edward C. Hansen']",Â£54.86,In stock,One,Science Fiction,In stock (3 available),https://books.toscrape.com/catalogue/dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),['Philip K. Dick'],Â£51.48,In stock,One,Science Fiction,In stock (3 available),https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),['James Oliver Curwood'],Â£44.18,In stock,Two,Science Fiction,In stock (1 available),https://books.toscrape.com/catalogue/three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),['Joe Hart (Novelist)'],Â£36.26,In stock,Two,Science Fiction,In stock (1 available),https://books.toscrape.com/catalogue/the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),['Ruby Dixon'],Â£34.96,In stock,Four,Science Fiction,In stock (1 available),https://books.toscrape.com/catalogue/having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
The Book of Basketball: The NBA According to The Sports Guy,['Bill Simmons'],Â£44.84,In stock,Five,Sports and Games,In stock (3 available),https://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html
"Friday Night Lights: A Town, a Team, and a Dream",['H. G. Bissinger'],Â£51.22,In stock,Three,Sports and Games,In stock (3 available),https://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/index.html
Sugar Rush (Offensive Line #2),['Jill Penrod'],Â£24.42,In stock,One,Sports and Games,In stock (2 available),https://books.toscrape.com/catalogue/sugar-rush-offensive-line-2_108/index.html
Settling the Score (The Summer Games #1),['Amy Cobb'],Â£44.91,In stock,Two,Sports and Games,In stock (1 available),https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html
Icing (Aces Hockey #2),['Kelly Jamieson'],Â£40.44,In stock,Four,Sports and Games,In stock (1 available),https://books.toscrape.com/catalogue/icing-aces-hockey-2_25/index.html
The Torch Is Passed: A Harding Family Story,['Richard Harding Davis'],Â£19.09,In stock,One,Add a comment,In stock (16 available),https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","['John P. Forsyth', 'Georg H. Eifert']",Â£23.89,In stock,Four,Add a comment,In stock (16 available),https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Art Forger,['B. A. Shapiro'],Â£40.76,In stock,Three,Add a comment,In stock (16 available),https://books.toscrape.com/catalogue/the-art-forger_930/index.html
